 frame 	 train 	 tail 	 loops 	 rate 
  128  	  117  	  1   	  65   	0.36065573770491804
  129  	  98   	  16  	  69   	0.4644808743169399
  130  	  102  	  19  	  62   	0.4426229508196721
  131  	  105  	  9   	  69   	0.4262295081967213
  132  	  94   	  7   	  82   	0.48633879781420764
  133  	  106  	  9   	  68   	0.4207650273224044
  134  	  102  	  4   	  77   	0.4426229508196721
  135  	  97   	  10  	  76   	0.46994535519125685
  136  	  105  	  2   	  76   	0.4262295081967213
  137  	  120  	  10  	  53   	0.3442622950819672
  138  	  106  	  15  	  62   	0.4207650273224044
  139  	  125  	  4   	  54   	0.31693989071038253
  140  	  126  	  2   	  55   	0.3114754098360656
  141  	  98   	  4   	  81   	0.4644808743169399
  142  	  102  	  10  	  71   	0.4426229508196721
  143  	  108  	  5   	  70   	0.4098360655737705
  144  	  120  	  2   	  61   	0.3442622950819672
  145  	  112  	  12  	  59   	0.3879781420765027
  146  	  129  	  5   	  49   	0.29508196721311475
  147  	  113  	  5   	  65   	0.3825136612021858
  148  	  101  	  14  	  68   	0.44808743169398907
  149  	  107  	  11  	  65   	0.41530054644808745
  150  	  103  	  7   	  73   	0.4371584699453552
  151  	  101  	  3   	  79   	0.44808743169398907
  152  	  93   	  8   	  82   	0.4918032786885246
  153  	  111  	  5   	  67   	0.39344262295081966
  154  	  111  	  13  	  59   	0.39344262295081966
  155  	  105  	  16  	  62   	0.4262295081967213
  156  	  109  	  8   	  66   	0.40437158469945356
  157  	  102  	  10  	  71   	0.4426229508196721
  158  	  103  	  2   	  78   	0.4371584699453552
  159  	  114  	  3   	  66   	0.3770491803278688
  160  	  104  	  2   	  77   	0.43169398907103823
  161  	  125  	  5   	  53   	0.31693989071038253
  162  	  114  	  6   	  63   	0.3770491803278688
  163  	  110  	  14  	  59   	0.3989071038251366
  164  	  112  	  9   	  62   	0.3879781420765027
  165  	  104  	  3   	  76   	0.43169398907103823
  166  	  112  	  6   	  65   	0.3879781420765027
  167  	  115  	  7   	  61   	0.37158469945355194
  168  	  107  	  12  	  64   	0.41530054644808745
  169  	  114  	  5   	  64   	0.3770491803278688
  170  	  122  	  11  	  50   	0.3333333333333333
  171  	  118  	  9   	  56   	0.3551912568306011
  172  	  108  	  8   	  67   	0.4098360655737705
  173  	  124  	  7   	  52   	0.3224043715846995
  174  	  110  	  6   	  67   	0.3989071038251366
  175  	  116  	  8   	  59   	0.366120218579235
  176  	  110  	  13  	  60   	0.3989071038251366
  177  	  114  	  6   	  63   	0.3770491803278688
  178  	  121  	  2   	  60   	0.33879781420765026
  179  	  114  	  7   	  62   	0.3770491803278688
  180  	  113  	  7   	  63   	0.3825136612021858
  181  	  115  	  8   	  60   	0.37158469945355194
  182  	  114  	  12  	  57   	0.3770491803278688
  183  	  114  	  7   	  62   	0.3770491803278688
  184  	  122  	  4   	  57   	0.3333333333333333
  185  	  112  	  6   	  65   	0.3879781420765027
  186  	  104  	  6   	  73   	0.43169398907103823
  187  	  100  	  16  	  67   	0.453551912568306
  188  	  113  	  1   	  69   	0.3825136612021858
  189  	  113  	  5   	  65   	0.3825136612021858
  190  	  120  	  11  	  52   	0.3442622950819672
  191  	  101  	  5   	  77   	0.44808743169398907
  192  	  98   	  6   	  79   	0.4644808743169399
  193  	  110  	  13  	  60   	0.3989071038251366
  194  	  111  	  4   	  68   	0.39344262295081966
  195  	  107  	  0   	  76   	0.41530054644808745
  196  	  111  	  2   	  70   	0.39344262295081966
  197  	  110  	  5   	  68   	0.3989071038251366
  198  	  110  	  3   	  70   	0.3989071038251366
  199  	  117  	  5   	  61   	0.36065573770491804
  200  	  99   	  14  	  70   	0.45901639344262296
  201  	  102  	  12  	  69   	0.4426229508196721
  202  	  114  	  6   	  63   	0.3770491803278688
  203  	  97   	  12  	  74   	0.46994535519125685
  204  	  114  	  3   	  66   	0.3770491803278688
  205  	  105  	  6   	  72   	0.4262295081967213
  206  	  105  	  11  	  67   	0.4262295081967213
  207  	  117  	  10  	  56   	0.36065573770491804
  208  	  116  	  0   	  67   	0.366120218579235
  209  	  116  	  3   	  64   	0.366120218579235
  210  	  103  	  20  	  60   	0.4371584699453552
  211  	  102  	  8   	  73   	0.4426229508196721
  212  	  111  	  12  	  60   	0.39344262295081966
  213  	  105  	  10  	  68   	0.4262295081967213
  214  	  102  	  7   	  74   	0.4426229508196721
  215  	  109  	  6   	  68   	0.40437158469945356
  216  	  115  	  1   	  67   	0.37158469945355194
  217  	  112  	  6   	  65   	0.3879781420765027
  218  	  91   	  24  	  68   	0.5027322404371585
  219  	  117  	  13  	  53   	0.36065573770491804
  220  	  96   	  11  	  76   	0.47540983606557374
  221  	  111  	  3   	  69   	0.39344262295081966
  222  	  121  	  2   	  60   	0.33879781420765026
  223  	  119  	  7   	  57   	0.34972677595628415
  224  	  119  	  14  	  50   	0.34972677595628415
  225  	  118  	  13  	  52   	0.3551912568306011
  226  	  122  	  1   	  60   	0.3333333333333333
  227  	  117  	  5   	  61   	0.36065573770491804
  228  	  119  	  5   	  59   	0.34972677595628415
  229  	  96   	  3   	  84   	0.47540983606557374
  230  	  114  	  7   	  62   	0.3770491803278688
  231  	  115  	  0   	  68   	0.37158469945355194
  232  	  125  	  12  	  46   	0.31693989071038253
  233  	  105  	  8   	  70   	0.4262295081967213
  234  	  106  	  2   	  75   	0.4207650273224044
  235  	  102  	  13  	  68   	0.4426229508196721
  236  	  114  	  9   	  60   	0.3770491803278688
  237  	  96   	  7   	  80   	0.47540983606557374
  238  	  111  	  6   	  66   	0.39344262295081966
  239  	  118  	  0   	  65   	0.3551912568306011
  240  	  116  	  10  	  57   	0.366120218579235
  241  	  127  	  3   	  53   	0.30601092896174864
  242  	  108  	  5   	  70   	0.4098360655737705
  243  	  114  	  7   	  62   	0.3770491803278688
  244  	  118  	  1   	  64   	0.3551912568306011
  245  	  116  	  2   	  65   	0.366120218579235
  246  	  113  	  7   	  63   	0.3825136612021858
  247  	  107  	  16  	  60   	0.41530054644808745
  248  	  118  	  4   	  61   	0.3551912568306011
  249  	  108  	  2   	  73   	0.4098360655737705
  250  	  124  	  8   	  51   	0.3224043715846995
  251  	  99   	  6   	  78   	0.45901639344262296
  252  	  111  	  2   	  70   	0.39344262295081966
  253  	  110  	  12  	  61   	0.3989071038251366
  254  	  115  	  1   	  67   	0.37158469945355194
  255  	  106  	  10  	  67   	0.4207650273224044
  256  	  100  	  4   	  79   	0.453551912568306
  257  	  126  	  7   	  50   	0.3114754098360656
  258  	  113  	  5   	  65   	0.3825136612021858
  259  	  107  	  7   	  69   	0.41530054644808745
  260  	  112  	  4   	  67   	0.3879781420765027
  261  	  95   	  16  	  72   	0.4808743169398907
  262  	  114  	  5   	  64   	0.3770491803278688
  263  	  89   	  12  	  82   	0.5136612021857924
  264  	  104  	  13  	  66   	0.43169398907103823
  265  	  104  	  14  	  65   	0.43169398907103823
  266  	  116  	  12  	  55   	0.366120218579235
  267  	  105  	  0   	  78   	0.4262295081967213
  268  	  113  	  8   	  62   	0.3825136612021858
  269  	  101  	  19  	  63   	0.44808743169398907
  270  	  115  	  1   	  67   	0.37158469945355194
  271  	  110  	  2   	  71   	0.3989071038251366
  272  	  112  	  8   	  63   	0.3879781420765027
  273  	  103  	  10  	  70   	0.4371584699453552
  274  	  103  	  5   	  75   	0.4371584699453552
  275  	  115  	  4   	  64   	0.37158469945355194
  276  	  107  	  9   	  67   	0.41530054644808745
  277  	  116  	  1   	  66   	0.366120218579235
  278  	  99   	  13  	  71   	0.45901639344262296
  279  	  95   	  7   	  81   	0.4808743169398907
  280  	  98   	  6   	  79   	0.4644808743169399
  281  	  104  	  14  	  65   	0.43169398907103823
  282  	  108  	  16  	  59   	0.4098360655737705
  283  	  120  	  7   	  56   	0.3442622950819672
  284  	  99   	  17  	  67   	0.45901639344262296
  285  	  110  	  5   	  68   	0.3989071038251366
  286  	  108  	  8   	  67   	0.4098360655737705
  287  	  101  	  6   	  76   	0.44808743169398907
  288  	  108  	  8   	  67   	0.4098360655737705
  289  	  108  	  1   	  74   	0.4098360655737705
  290  	  114  	  12  	  57   	0.3770491803278688
  291  	  117  	  7   	  59   	0.36065573770491804
  292  	  108  	  1   	  74   	0.4098360655737705
  293  	  112  	  7   	  64   	0.3879781420765027
  294  	  104  	  4   	  75   	0.43169398907103823
  295  	  107  	  1   	  75   	0.41530054644808745
  296  	  110  	  4   	  69   	0.3989071038251366
  297  	  118  	  4   	  61   	0.3551912568306011
  298  	  126  	  5   	  52   	0.3114754098360656
  299  	  121  	  3   	  59   	0.33879781420765026
  300  	  117  	  6   	  60   	0.36065573770491804
